id;cat;name;zen;rekom;sebe;tehno;gram;kol
100;Роллы;Ролл Огурец;50;56,02;18,68;нори*0.5, рис*90, огурец*25,;115;8
200;Роллы;Ролл Лосось;90;87,9;29,3;нори*0.5, рис*90, лосось*25,;115;8
300;Роллы;Ролл Креветка;100;101,4;33,8;нори*0.5, рис*90, креветки*25,;115;8
400;Роллы;Ролл Угорь;115;155,85;51,95;нори*0.5, рис*90, угорь*25,соус унаги*5,кунжут*5,;125;8
500;Роллы;Ролл Краб;85;93,15;31,05;нори*0.5, рис*90, краб снежный*30,;120;8
600;Роллы;Ролл Сливочный;80;76,28;25,43;нори*0.5, рис*90, сыр сливочный*25,;115;8
700;Роллы;Ролл Спайси курица;110;133,57;44,52;нори*1, рис*130, курица копчёная*25, спайси соус*15,лист салата*15, огурец*10,;195;8
800;Роллы;Ролл Овощной;90;93,27;31,09;нори*1, рис*130, огурец*10, перец болгарский*10, помидор*10, лист салата*10, кунжут*5,;175;8
900;Роллы;Ролл Филадельфия!;200;166,81;55,6;нори*0.5, рис*130, сыр сливочный*40, огурец*15, лосось*50,;235;8
950;Роллы;Ролл Apple;200;168,39;56,13;нори*0.5, рис*130, сыр сливочный*40, яблоко*15, лосось*50,;235;8
1000;Роллы;Ролл Филадельфия с угрём;240;246,39;82,13;нори*0.5, рис*130, сыр сливочный*25, огурец*15, лосось*50, угорь*25,;245;8
1010;Роллы;Ролл Белый угорь;260;281,79;93,93;нори*0.5, рис*130, сыр сливочный*40, угорь*50;245;8
1020;Роллы;Ролл Царский угорь;285;304,89;101,63;нори*0.5, рис*130, сыр сливочный*25, огурец*15, угорь*50, лосось*25,;245;8
1100;Роллы;Ролл Филадельфия с копчёным лососем;230;257,64;85,88;нори*0.5, рис*130, сыр сливочный*25, огурец*15, лосось копчёный*25, лосось*50,;245;8
1200;Роллы;Ролл Сливочный угорь!;210;220,29;73,43;нори*0.5, рис*130, сыр сливочный*40, икра масаго*25, угорь*20,;215;8
1400;Роллы;Ролл Калифорния классик;170;153,97;51,33;нори*0.5, рис*130, краб снежный*30, огурец*25, майонез*10, икра масаго*25,;220;8
1500;Роллы;Ролл Калифорния с лососем;190;168,39;56,13;нори*0.5, рис*130, сыр сливочный*25, лосось*25, огурец*15, икра масаго*25,;220;8
1700;Роллы;Ролл Калифорния с угрём;210;206,55;68,85;нори*0.5, рис*130, угорь*25, огурец*20, икра масаго*25, майонез*10,;210;8
1800;Роллы;Ролл Калифорния с креветкой;190;161,55;53,85;нори*0.5, рис*130, креветки*25, огурец*20, икра масаго*25, майонез*10,;210;8
1840;Роллы;Ролл Рандом;170;209,49;69,83;нори*0.5, рис*130, случайная начинка*85,;215;8
1860;Роллы;Ролл Шитаки сыр;160;166,29;55,43;нори*1, рис*130, грибы шитаки*20, сыр сливочный*40,;190;8
1880;Роллы;Ролл Нежность;180;140,64;46,88;нори*1, рис*130, яблоко*20, сыр сливочный*30, икра масаго*25,;205;8
1900;Роллы;Ролл Океан;180;150,62;50,2;нори*1, рис*130, креветки*25, огурец*10, икра масаго*10, сыр сливочный*25,;200;8
2000;Роллы;Ролл Цунами;185;208,14;69,38;нори*0.5, рис*130, лосось копчёный*25, огурец*15, стружка тунца*5, сыр сливочный*25,;200;8
2100;Роллы;Ролл Атлантика;220;240,99;80,33;нори*0.5, рис*130, лосось*25, угорь*25, огурец*15, икра масаго*10, сыр сливочный*25, кунжут*5, соус унаги*5,;240;8
2200;Роллы;Ролл Восток;200;219,01;73;нори*0.5, рис*130, лосось копчёный*25, огурец*15, спайси соус*15, икра масаго*25,;210;8
2400;Роллы;Дабл-ролл ;210;214,65;71,55;нори*0.5, рис*130, икра масаго*25, майонез*10, угорь*20, лосось*20, огурец*10,;215;8
2500;Роллы;Сяке-ролл;180;170,64;56,88;нори*0.5, рис*130, лосось(жар)*25, огурец*15, сыр сливочный*25, икра масаго*25,;220;8
2600;Жаренные роллы;Темпура с лососем;200;150,6;50,2;нори*1, рис*130, лосось*25, огурец*15, сыр сливочный*25, кляр-сухари*30, соус унаги*5, кунжут*5,;235;8
2700;Жаренные роллы;Темпура с крабом;190;155,85;51,95;нори*1, рис*130, краб снежный*30, огурец*15, сыр сливочный*25, соус унаги*5, кунжут*5, кляр-сухари*30,;240;8
2800;Жаренные роллы;Темпура с курицей;190;149,1;49,7;нори*1, рис*130, курица копчёная*25, огурец*15, сыр сливочный*25, соус унаги*5, кунжут*5, кляр-сухари*30,;235;8
2900;Жаренные роллы;Темпура с кальмаром;190;133,35;44,45;нори*1, рис*130, кальмар*30, огурец*15, сыр сливочный*25, соус унаги*5, кунжут*5, кляр-сухари*30,;240;8
3100;Жаренные роллы;Темпура с угрём;220;209,1;69,7;нори*1, рис*130, угорь*25, огурец*15, сыр сливочный*25, соус унаги*5, кунжут*5, кляр-сухари*30,;235;8
3200;Жаренные роллы;Темпура ОРИГАМИ;195;177,66;59,22;нори*1, рис*130, лосось*10, угорь*10, майонез*10, креветки*15, соус унаги*5, кунжут*5, кляр-сухари*30, спайси соус*15,;230;8
3400;Запечённые роллы;Ролл Запечённый с курицей;200;129,84;43,28;нори*1, рис*130, курица копчёная*25, сыр сливочный*25, огурец*15, спайси соус*15, соус унаги*5, кунжут*5,;220;8
3500;Запечённые роллы;Ролл Запечённый с мидиями;200;129,84;43,28;нори*1, рис*130, мидии*25, сыр сливочный*25, огурец*15, спайси соус*15, соус унаги*5, кунжут*5,;220;8
3600;Запечённые роллы;Ролл Запечённый с крабом;200;136,59;45,53;нори*1, рис*130, краб снежный*30, сыр сливочный*25, огурец*15, спайси соус*15, соус унаги*5, кунжут*5,;225;8
