id;cat;name;zen;sostav;gram;kol;stat;reit;str
100;Роллы;Ролл Огурец;50;нори, рис, огурец;110;8;;;
200;Роллы;Ролл Лосось;90;нори, рис, лосось;110;8;;;
300;Роллы;Ролл Креветка;100;нори, рис, креветка;110;8;;;
400;Роллы;Ролл Угорь;100;нори, рис, угорь;110;8;;;
500;Роллы;Ролл Краб;80;нори, рис, краб;110;8;;;
600;Роллы;Ролл Сливочный;80;нори, рис, сыр сливочный;110;8;;;
700;Роллы;Ролл Спайси курица;80;нори, рис, курица, спйси соус ;120;8;;;
800;Роллы;Ролл Овощной;130;нори, рис, огурец, помидор, лист салата, кунжут ;180;8;;;
900;Роллы;Ролл Филадельфия;200;нори, рис, сыр сливочный, огурец, лосось;235;8;;;
1000;Роллы;Ролл Филадельфия с угрём;240;нори, рис, сыр сливочный, огурец, угорь;235;8;;;
1100;Роллы;Ролл Филадельфия с копчёным лососем;220;нори, рис, сыр сливочный, огурец, лосось копченый;235;8;;;
1200;Роллы;Ролл Сливочный угорь;190;нори, рис, сыр сливочный, масаго, угорь;200;8;;;
1300;Роллы;Ролл Калифорния чикен;160;нори, рис,укроп, морковь, курица;195;8;;;
1400;Роллы;Ролл Калифорния классик;170;нори, рис, краб снежный, огурец, майонезмасаго ;205;8;;;
1500;Роллы;Ролл Калифорния с лососем;180;нори, рис, лосось, огурец, майонез, масаго ;205;8;;;
1600;Роллы;Ролл Калифорния томаго;180;нори, рис, краб снежный, огурец, тамаго, майонезмасаго ;205;8;;;
1700;Роллы;Ролл Калифорния с угрём;200;нори, рис, угорь, огурец, сыр сливочный,масаго ;210;8;;;
1800;Роллы;Ролл Калифорния с креветкой;200;нори, рис, креветка, огурец, майонез,масаго ;205;8;;;
1900;Роллы;Ролл Океан;180;нори, рис, креветка, огурец, сыр сливочный ;200;8;;;
2000;Роллы;Ролл Цунами;160;нори, рис, лосось, огурец, спайси, стружка тунца ;195;8;;;
2100;Роллы;Ролл Атлантика;220;нори, рис, лосось, угорь, огурец, майонез, краб ;220;8;;;
2200;Роллы;Ролл Восток;190;нори, рис, лосось копченый, огурец, спайси,масаго ;200;8;;;
2300;Роллы;Рашен-ролл;170;нори, рис, бекон, огурец, помидор, болгарский перец, майонез;230;8;;;
2400;Роллы;Дабл-ролл ;230;нори, рис, масаго, огурец, майонез, угорь, лосось ;205;8;;;
2500;Роллы;Сяке ролл;160;нори, рис, лосось жар., огурец, сыр, масаго ;210;8;;;
2600;Жаренные роллы;Темпура с лососем;200;нори, рис, лосось, огурец, сыр сливочный, масаго, сухари кляр;220;8;;;
2700;Жаренные роллы;Темпура с крабом;190;нори, рис, краб, огурец, сыр сливочный, масаго;220;8;;;
2800;Жаренные роллы;Темпура чикен;190;нори, рис, курица, огурец, сыр сливочный, масаго;220;8;;;
2900;Жаренные роллы;Темпура кальмар;180;нори, рис, кальмар, огурец, сыр сливочный, масаго;220;8;;;
3000;Жаренные роллы;Темпура с беконом;190;нори, рис, бекон, огурец, сыр сливочный, масаго;220;8;;;
3100;Жаренные роллы;Темпура с угрём;220;нори, рис, угорь, огурец, сыр сливочный, масаго;220;8;;;
3200;Жаренные роллы;Темпура делюкс;210;нори, рис, лосось, креветка, лук, майонез ;220;8;;;
3300;Жаренные роллы;Темпура Оригами;240;нори, рис, лосось, угорь, огурец, спайси, масаго;220;8;;;
3400;Запечённые роллы;Ролл Запечённый с курицей;180;нори, рис, курица, сыр сливочный, спайс ;205;8;;;
3500;Запечённые роллы;Ролл Запечённый с мидиями;190;нори, рис, лосось, огурец, мидия, спайс ;215;8;;;
3600;Запечённые роллы;Ролл Запечённый яки-краб;190;нори, рис, краб, тамаго, яки соус ;200;8;;;
3700;Запечённые роллы;Ролл Запечённая Филадельфия;220;нори, рис, сыр сливочный, огурец, лосось;235;8;;;
3800;Запечённые роллы;Ролл Запечённый Оригами;260;нори, рис, креветка, угорь, спайс, омлет, огурец;210;8;;;
3900;Запечённые роллы;Ролл Лосось под спайсом;210;нори, рис, сыр сливочный, лосось, огурец, спайс ;215;8;;;
4000;Запечённые роллы;Ролл Футомаки;180;нори, рис, омлет, начинка, огурец, сырный соус ;185;5;;;
4100;Суши;Суши-Лосось;70;нори, рис, начинка ;32;1;;;
4200;Суши;Суши-Угорь;80;нори, рис, начинка ;32;1;;;
4300;Суши;Суши Спайси с мидиями;70;нори, рис, начинка ;32;1;;;
4400;Суши;Суши Спайси с лососем;70;нори, рис, начинка ;32;1;;;
4500;Суши;Суши Спайси с угрём;90;нори, рис, начинка ;32;1;;;
4600;Горячие блюда;Кольца кальмаров;120;кальмар, кляр, лист салата, панировачные сухари, соус фирменный;130;1;;;
4700;Горячие блюда;Куриное филе с овощами;240;куриное филе, овощи, лист салата, соус фирменный;250;1;;;
4800;Горячие блюда;Луковые кольца;70;луковые кольца, кляр, лист салата, панировачные сухари, соус фирменный;130;1;;;
4850;Горячие блюда;Картофель ФРИ;60;картофель фри, соус фирменный;130;1;;;
4880;Горячие блюда;Картофель дольками;60;картофель дольками, соус фирменный;130;1;;;
